Scenariusz,Sredni Czas Klatki (ms),Srednie FPS,Odchylenie Std (ms),Min (ms),Max (ms),1% Low (ms),0.1% Low (ms)
0.09 - Gauss,34.1704,29.27,7.7115,29.2469,69.3660,57.9263,69.3660
0.18 - Gauss,32.3386,30.92,1.1939,31.3696,40.6953,38.4295,40.6953
0.36 - Gauss,40.1566,24.90,0.9207,38.6385,49.9749,41.5111,49.9749
0.72 - Gauss,69.5117,14.39,0.8221,67.7594,74.0344,72.3544,74.0344
1.44 - Gauss,187.0792,5.35,1.5089,185.1060,201.3855,193.0383,201.3855
